Thu Feb 2 05:54:34 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 85745554
numbers of Z: 35096
shape of features
(35096,)
shape of features
(35096,)
ZX	Vol	Parts	Cubes	Eps
X	0.023756872460824516	7863	7.863	0.1445662770035951
X	0.02285123285521128	7312	7.312	0.14620351625103373
X	0.022706218365943172	7255	7.255	0.14627467138892178
X	0.022969881085119707	6822	6.822	0.14988183813530567
X	0.02268063733850602	2176	2.176	0.21843997647608826
X	0.022774418391560556	2144	2.144	0.21982352678447234
X	0.02286379887857731	8253	8.253	0.14044690786008185
X	0.0246074453891774	32711	32.711	0.09094752878690701
X	0.024269684286046953	5128	5.128	0.16789536363680255
X	0.022780249383573568	4455	4.455	0.17228081671950823
X	0.024158324376638993	14909	14.909	0.1174553394998884
X	0.022722916085571435	3223	3.223	0.1917496528588365
X	0.02415337095172436	4103	4.103	0.1805616070667685
X	0.022973386802023196	4159	4.159	0.17677141357483614
X	0.022726662131178216	4802	4.802	0.16789502723324307
X	0.02269731601087958	2834	2.834	0.2000744136495288
X	0.024346601142982906	9308	9.308	0.13778247723156148
X	0.022846680804500804	5896	5.896	0.15706830114553574
X	0.023014038005681223	7801	7.801	0.1434214743561153
X	0.022785415519705806	3586	3.586	0.18521758725669235
X	0.02294487815590704	3675	3.675	0.1841377381170266
X	0.024177755935574537	6758	6.758	0.15294405505746222
X	0.02394598949873779	9667	9.667	0.13530495142597673
X	0.023571926129066792	9156	9.156	0.13705548762639513
X	0.02484257364500621	7299	7.299	0.15042190141585515
X	0.022980108734759315	14140	14.14	0.1175711835039468
X	0.024474516319530196	11241	11.241	0.12960936712345558
X	0.022900479368783085	7228	7.228	0.14687305999061814
X	0.024006108692161375	21304	21.304	0.10406073080440259
X	0.022863753972611606	6473	6.473	0.15229324611978506
X	0.02291895987865133	11815	11.815	0.12471548868402112
X	0.023446360535624163	4077	4.077	0.17916159046518687
X	0.022880713238054292	11618	11.618	0.1253466491718174
X	0.022815252647423984	4812	4.812	0.1679963661826193
X	0.02417163832337042	10174	10.174	0.1334355196711967
X	0.022668317045435912	1597	1.597	0.24212415645696742
X	0.024110478146281072	4923	4.923	0.16982123535083654
X	0.02267610136859731	3262	3.262	0.19085116310369465
X	0.022828392474409175	4027	4.027	0.1783054291209547
X	0.022861769195797944	3421	3.421	0.18835865786800596
X	0.022778816191301312	5118	5.118	0.16449156132586962
X	0.022702620075683164	7299	7.299	0.14597244169614781
X	0.024158493374103723	9646	9.646	0.13580242639297907
X	0.022895708967758156	5752	5.752	0.15848143911355406
X	0.02297672447990228	5512	5.512	0.16093838387528714
X	0.022450675185619166	2103	2.103	0.22018955375406984
X	0.024246976371894446	18681	18.681	0.10908184868126032
X	0.022706777838077907	3258	3.258	0.19101529504815434
X	0.022900674345381487	27812	27.812	0.09372857553276277
X	0.02443460934459571	4708	4.708	0.17313690453051642
X	0.02387662090618672	5074	5.074	0.16757432051134152
X	0.022849406818166867	4243	4.243	0.1752806463793818
X	0.0227349899211631	4059	4.059	0.17759275243349612
X	0.0233900500822992	4361	4.361	0.17504445384331954
X	0.022816856233846588	3103	3.103	0.19445749048798544
X	0.02385353712185436	7652	7.652	0.14608062177527298
X	0.02421485520294431	28915	28.915	0.09425829070659474
X	0.022845404036173043	6827	6.827	0.14957407077004023
X	0.024221578951731316	22713	22.713	0.10216668839793225
X	0.023013320230615704	4539	4.539	0.17179335688546996
X	0.022800671681819217	8421	8.421	0.1393781378557154
X	0.022618478109387764	4645	4.645	0.16949590904874987
X	0.024514278308517084	6723	6.723	0.1539165547765781
X	0.02279637693299627	4184	4.184	0.17596436143650104
X	0.023426139153518648	3638	3.638	0.18604271754098645
X	0.022905514526132112	5519	5.519	0.1607039503678261
X	0.022713853596385735	4461	4.461	0.17203607793396225
X	0.02288646338513325	3999	3.999	0.17887202662716778
X	0.023740267090935373	7474	7.474	0.1469978002278177
X	0.022702577594442334	2013	2.013	0.22425585875330942
